section,community,relative_pos
stars,C3,2.0
stars,C1,2.33
stars,C3,2.67
stars,C3,3.33
stars,C3,3.67
stars,C4,0.25
stars,C1,0.75
stars,C3,1.0
stars,C1,1.25
stars,C1,1.5
stars,C1,0.75
stars,C3,1.0
stars,C1,1.25
stars,C1,1.75
stars,C2,2.25
stars,C1,0.6
stars,C3,0.8
stars,C1,1.0
stars,C1,1.2
stars,C1,1.4
stars,C1,2.0
stars,C3,2.0
stars,C1,4.0
stars,C2,0.17
stars,C1,0.5
stars,C1,0.67
stars,C1,0.83
stars,C1,1.17
stars,C1,1.33
stars,C1,1.5
stars,C1,0.75
stars,C1,1.0
stars,C1,1.25
stars,C2,1.5
stars,C1,1.75
stars,C1,1.0
stars,C2,2.5
stars,C0,3.0
stars,C1,0.0
stars,C0,0.25
stars,C2,0.5
stars,C2,0.75
stars,C1,1.0
stars,C2,0.2
stars,C2,0.6
stars,C1,0.8
stars,C1,1.0
stars,C2,1.4
stars,C2,1.6
stars,C4,0.5
stars,C4,0.75
stars,C0,1.0
stars,C0,1.25
stars,C1,1.75
stars,C1,0.4
stars,C1,0.6
stars,C1,1.0
stars,C2,1.2
stars,C0,1.4
stars,C3,1.6
stars,C2,1.5
stars,C0,4.5
stars,C3,5.0
stars,C0,2.0
stars,C1,4.0
stars,C1,1.67
stars,C3,2.0
stars,C1,2.33
stars,C2,2.67
stars,C2,0.0
stars,C2,0.75
stars,C2,1.0
stars,C1,1.25
stars,C2,1.5
stars,C3,0.0
stars,C1,0.25
stars,C1,0.5
stars,C1,0.75
stars,C3,1.25
stars,C3,1.0
stars,C1,3.0
stars,C3,3.5
stars,C0,1.0
stars,C1,1.5
stars,C1,2.5
stars,C1,0.5
stars,C1,0.75
stars,C1,1.25
stars,C0,1.75
stars,C1,2.0
stars,C0,0.5
stars,C2,1.5
stars,C3,3.0
stars,C1,1.0
stars,C1,2.0
stars,C0,0.0
stars,C1,1.0
stars,C1,1.33
stars,C2,2.0
stars,C3,0.75
stars,C1,1.0
stars,C1,1.25
stars,C3,1.75
stars,C0,2.0
stars,C0,0.0
stars,C1,0.33
stars,C1,0.5
stars,C3,0.83
stars,C1,1.0
stars,C1,1.17
stars,C2,1.33
stars,C1,3.0
stars,C3,4.0
stars,C1,0.25
stars,C1,0.5
stars,C1,1.0
stars,C1,1.25
stars,C1,1.5
stars,C1,0.14
stars,C1,0.29
stars,C1,0.43
stars,C1,0.57
stars,C1,0.71
stars,C1,0.86
stars,C1,1.0
stars,C2,1.14
stars,C2,0.17
stars,C1,0.33
stars,C0,0.5
stars,C2,0.83
stars,C1,1.0
stars,C1,1.17
stars,C2,1.33
stars,C4,0.75
stars,C1,1.0
stars,C1,1.25
stars,C1,1.5
stars,C2,1.75
stars,C3,5.0
stars,C2,8.0
stars,C3,0.4
stars,C1,0.6
stars,C2,0.8
stars,C1,1.0
stars,C0,1.2
stars,C2,1.4
stars,C1,2.0
stars,C1,2.5
stars,C0,3.0
stars,C3,0.2
stars,C0,0.4
stars,C0,0.8
stars,C1,1.2
stars,C1,1.4
stars,C0,1.6
stars,C0,0.67
stars,C1,1.0
stars,C1,1.33
stars,C3,1.67
stars,C3,0.75
stars,C3,1.25
stars,C1,1.5
stars,C1,1.75
stars,C1,2.0
stars,C2,0.5
stars,C1,0.75
stars,C1,1.0
stars,C3,1.75
stars,C1,2.0
stars,C1,0.2
stars,C2,0.4
stars,C1,0.6
stars,C1,0.8
stars,C4,1.4
stars,C1,2.0
stars,C3,0.2
stars,C3,0.4
stars,C3,0.6
stars,C1,0.8
stars,C1,1.0
stars,C0,1.2
stars,C1,1.33
stars,C1,1.67
stars,C3,2.33
stars,C1,3.0
stars,C1,0.0
stars,C0,1.0
stars,C1,2.33
stars,C1,3.33
stars,C1,0.0
stars,C3,2.5
stars,C0,3.0
stars,C1,0.0
stars,C1,0.5
stars,C1,1.5
stars,C1,2.25
stars,C2,2.5
stars,C1,0.33
stars,C3,0.67
stars,C1,1.67
stars,C1,2.0
stars,C3,2.0
stars,C3,3.0
stars,C3,0.0
stars,C1,0.33
stars,C3,1.0
stars,C3,1.33
stars,C3,0.12
stars,C1,0.25
stars,C1,0.38
stars,C1,0.5
stars,C3,0.62
stars,C1,0.75
stars,C2,0.88
stars,C3,1.0
stars,C0,1.12
stars,C3,0.2
stars,C3,0.4
stars,C1,0.8
stars,C2,1.0
stars,C3,1.2
stars,C2,1.4
stars,C1,0.25
stars,C1,0.5
stars,C3,0.75
stars,C1,1.0
stars,C3,1.25
stars,C3,0.0
stars,C1,0.17
stars,C1,0.5
stars,C2,0.67
stars,C1,0.83
stars,C3,1.0
stars,C1,1.33
stars,C2,0.6
stars,C1,0.8
stars,C1,1.0
stars,C1,1.4
stars,C0,1.6
stars,C1,2.0
stars,C4,0.6
stars,C1,1.0
stars,C0,1.2
stars,C2,1.4
stars,C3,1.6
stars,C3,2.0
stars,C2,0.33
stars,C0,0.5
stars,C2,0.67
stars,C1,0.83
stars,C1,1.0
stars,C1,1.17
stars,C2,1.33
stars,C0,0.0
stars,C3,0.6
stars,C1,0.8
stars,C1,1.0
stars,C1,1.2
stars,C1,1.4
stars,C0,0.17
stars,C2,0.5
stars,C0,0.67
stars,C0,0.83
stars,C0,1.17
stars,C2,1.33
stars,C1,1.5
stars,C3,1.0
stars,C0,3.0
stars,C1,0.29
stars,C2,0.43
stars,C0,0.57
stars,C3,0.71
stars,C2,0.86
stars,C2,1.0
stars,C0,1.14
stars,C1,1.29
stars,C0,2.0
stars,C2,2.5
stars,C2,4.0
stars,C2,0.0
stars,C1,0.25
stars,C0,0.75
stars,C2,1.25
stars,C3,1.5
stars,C0,0.2
stars,C2,0.4
stars,C2,0.6
stars,C3,0.8
stars,C2,1.0
stars,C2,1.4
stars,C0,0.33
stars,C3,0.5
stars,C0,0.67
stars,C2,0.83
stars,C4,1.17
stars,C2,1.5
stars,C2,1.67
stars,C2,0.0
stars,C2,6.0
stars,C1,0.4
stars,C2,0.8
stars,C2,1.0
stars,C1,1.2
stars,C2,1.4
stars,C3,1.6
stars,C1,2.0
stars,C3,5.0
stars,C2,0.2
stars,C2,0.6
stars,C2,0.8
stars,C2,1.0
stars,C2,1.2
stars,C3,1.6
stars,C2,0.75
stars,C2,1.0
stars,C3,1.25
stars,C1,1.5
stars,C2,1.75
stars,C3,0.5
stars,C3,1.0
stars,C2,1.25
stars,C0,1.75
stars,C1,2.25
stars,C0,0.11
stars,C0,0.22
stars,C0,0.33
stars,C3,0.44
stars,C0,0.67
stars,C0,0.78
stars,C2,0.89
stars,C2,1.0
stars,C1,1.11
stars,C0,1.22
stars,C0,0.17
stars,C3,0.33
stars,C0,0.5
stars,C0,0.83
stars,C0,1.17
stars,C0,1.67
stars,C0,1.83
stars,C0,0.25
stars,C0,1.0
stars,C0,1.5
stars,C2,1.75
stars,C0,2.0
stars,C0,1.0
stars,C1,2.0
stars,C0,0.6
stars,C0,1.0
stars,C0,1.2
stars,C1,1.8
stars,C0,2.0
stars,C2,2.2
stars,C0,0.0
stars,C2,0.5
stars,C2,2.0
stars,C1,0.4
stars,C1,0.6
stars,C2,1.0
stars,C1,1.2
stars,C1,1.4
stars,C3,2.0
stars,C2,0.1
stars,C0,0.2
stars,C1,0.3
stars,C1,0.4
stars,C0,0.5
stars,C3,0.6
stars,C1,0.7
stars,C0,0.8
stars,C0,0.9
stars,C0,1.0
stars,C2,1.1
stars,C3,0.2
stars,C2,0.4
stars,C2,0.8
stars,C1,1.0
stars,C1,1.6
stars,C4,1.8
stars,C3,0.5
stars,C2,1.5
stars,C0,2.0
stars,C1,0.2
stars,C1,0.4
stars,C1,0.6
stars,C3,0.8
stars,C3,1.0
stars,C3,1.6
stars,C0,0.0
stars,C1,0.2
stars,C0,0.4
stars,C1,0.8
stars,C2,1.0
stars,C0,1.2
stars,C0,0.17
stars,C1,0.33
stars,C2,0.5
stars,C0,0.67
stars,C1,0.83
stars,C1,1.0
stars,C1,1.5
stars,C0,0.0
stars,C1,0.12
stars,C2,0.25
stars,C0,0.38
stars,C1,0.5
stars,C1,0.62
stars,C0,0.75
stars,C0,0.88
stars,C0,1.0
stars,C1,0.25
stars,C2,0.5
stars,C2,1.0
stars,C1,1.5
stars,C0,1.75
stars,C0,1.0
stars,C0,2.0
stars,C0,0.2
stars,C2,0.6
stars,C2,0.8
stars,C2,1.0
stars,C1,1.4
stars,C4,1.6
stars,C3,0.25
stars,C2,1.0
stars,C2,1.25
stars,C3,1.75
stars,C1,2.25
stars,C0,0.0
stars,C0,0.12
stars,C0,0.38
stars,C4,0.5
stars,C0,0.88
stars,C0,1.0
stars,C4,1.12
stars,C0,1.25
stars,C1,1.5
stars,C2,0.5
stars,C3,1.5
stars,C2,2.0
stars,C0,2.25
stars,C0,2.75
stars,C1,0.2
stars,C2,0.6
stars,C0,0.8
stars,C2,1.2
stars,C2,1.4
stars,C1,1.8
stars,C2,0.0
stars,C2,1.0
stars,C3,2.0
stars,C3,0.25
stars,C1,1.0
stars,C2,1.25
stars,C1,2.0
stars,C2,2.25
stars,C2,0.14
stars,C2,0.29
stars,C2,0.57
stars,C1,0.71
stars,C2,0.86
stars,C0,1.14
stars,C0,1.43
stars,C1,1.57
stars,C0,0.0
stars,C1,0.11
stars,C2,0.22
stars,C1,0.33
stars,C2,0.44
stars,C2,0.56
stars,C2,0.78
stars,C2,0.89
stars,C1,1.0
stars,C2,1.11
stars,C2,0.33
stars,C2,0.67
stars,C2,1.0
stars,C0,1.33
stars,C1,0.67
stars,C0,1.0
stars,C1,1.67
stars,C1,2.33
stars,C0,0.17
stars,C1,0.5
stars,C1,1.0
stars,C1,1.17
stars,C1,1.33
stars,C2,1.5
stars,C2,1.67
stars,C4,0.0
stars,C0,0.5
stars,C1,1.0
stars,C1,0.0
stars,C1,0.2
stars,C1,0.4
stars,C0,0.6
stars,C2,0.8
stars,C2,1.8
stars,C0,0.33
stars,C1,0.67
stars,C1,1.33
stars,C0,1.67
stars,C4,1.0
stars,C0,2.5
stars,C1,3.5
stars,C3,0.0
stars,C0,0.33
stars,C1,0.5
stars,C1,0.67
stars,C2,0.83
stars,C1,1.0
stars,C1,1.17
stars,C4,0.25
stars,C0,0.5
stars,C4,0.75
stars,C1,2.0
stars,C4,2.5
stars,C0,0.0
stars,C2,0.4
stars,C4,0.6
stars,C2,1.2
stars,C1,1.4
stars,C1,1.8
stars,C0,0.25
stars,C1,1.0
stars,C0,1.25
stars,C0,1.5
stars,C1,1.75
stars,C1,0.33
stars,C1,2.33
stars,C1,3.0
stars,C3,4.33
stars,C3,0.0
stars,C1,2.0
stars,C0,0.0
stars,C4,0.29
stars,C1,0.43
stars,C2,0.71
stars,C1,0.86
stars,C0,1.0
stars,C0,1.14
stars,C0,1.29
stars,C0,0.2
stars,C2,0.6
stars,C1,1.0
stars,C1,1.2
stars,C1,1.4
stars,C0,1.6
stars,C0,0.17
stars,C0,0.5
stars,C1,0.67
stars,C3,0.83
stars,C3,1.17
stars,C2,1.5
stars,C1,1.67
stars,C0,0.0
stars,C1,0.4
stars,C1,0.6
stars,C0,0.8
stars,C0,1.0
stars,C3,1.4
stars,C1,0.2
stars,C3,0.4
stars,C4,0.6
stars,C1,0.8
stars,C1,1.2
stars,C2,2.2
stars,C0,0.22
stars,C1,0.33
stars,C3,0.44
stars,C2,0.56
stars,C0,0.67
stars,C2,0.89
stars,C2,1.0
stars,C0,1.11
stars,C1,1.22
stars,C1,1.33
stars,C1,0.0
stars,C1,0.12
stars,C3,0.25
stars,C4,0.5
stars,C2,0.62
stars,C1,0.75
stars,C1,0.88
stars,C2,1.0
stars,C1,1.12
stars,C1,0.5
stars,C2,2.0
stars,C2,2.5
stars,C3,0.12
stars,C4,0.25
stars,C3,0.38
stars,C2,0.62
stars,C2,0.75
stars,C3,0.88
stars,C1,1.25
stars,C0,1.38
stars,C3,1.5
stars,C0,0.0
stars,C1,0.25
stars,C4,0.5
stars,C1,1.0
stars,C2,1.25
stars,C0,0.17
stars,C1,0.33
stars,C1,0.67
stars,C0,0.83
stars,C1,1.0
stars,C2,1.5
stars,C2,1.67
stars,C0,0.0
stars,C3,0.29
stars,C1,0.43
stars,C0,0.57
stars,C2,0.71
stars,C0,0.86
stars,C0,1.29
stars,C0,1.43
stars,C4,0.17
stars,C2,0.33
stars,C2,0.67
stars,C1,1.0
stars,C4,1.17
stars,C2,1.83
stars,C2,2.0
stars,C3,0.25
stars,C3,0.5
stars,C1,1.25
stars,C4,2.0
stars,C0,2.5
stars,C3,0.14
stars,C4,0.29
stars,C2,0.57
stars,C0,0.71
stars,C2,0.86
stars,C2,1.0
stars,C2,1.14
stars,C0,1.29
stars,C2,0.17
stars,C0,0.5
stars,C1,0.67
stars,C1,0.83
stars,C2,1.0
stars,C0,1.17
stars,C1,1.33
stars,C1,0.4
stars,C1,0.6
stars,C0,0.8
stars,C3,1.2
stars,C1,1.6
stars,C2,1.8
stars,C1,0.2
stars,C3,0.6
stars,C2,1.0
stars,C0,1.4
stars,C4,1.6
stars,C1,1.8
stars,C2,0.25
stars,C2,1.25
stars,C1,1.5
stars,C2,1.75
stars,C1,2.0
stars,C1,1.0
stars,C2,4.0
stars,C2,0.33
stars,C1,0.67
stars,C3,1.0
stars,C1,2.0
stars,C1,0.14
stars,C1,0.29
stars,C2,0.43
stars,C1,0.57
stars,C2,0.71
stars,C3,0.86
stars,C2,1.0
stars,C3,1.14
stars,C2,0.33
stars,C2,0.67
stars,C2,0.83
stars,C0,1.0
stars,C3,1.33
stars,C2,2.17
stars,C3,2.33
stars,C0,0.5
stars,C2,1.0
stars,C2,2.0
stars,C2,0.17
stars,C1,0.33
stars,C2,0.5
stars,C0,0.83
stars,C2,1.17
stars,C0,1.33
stars,C2,1.5
stars,C2,0.0
stars,C2,0.14
stars,C3,0.29
stars,C2,0.71
stars,C0,0.86
stars,C2,1.0
stars,C2,1.14
stars,C2,1.29
stars,C2,0.5
stars,C1,0.67
stars,C2,0.83
stars,C2,1.0
stars,C0,1.33
stars,C0,1.5
stars,C2,1.67
stars,C3,3.0
stars,C2,11.0
stars,C2,0.0
stars,C1,0.43
stars,C2,0.57
stars,C4,0.86
stars,C2,1.0
stars,C2,1.29
stars,C0,1.43
stars,C0,1.57
stars,C3,1.0
stars,C3,3.0
stars,C3,0.33
stars,C2,2.33
stars,C0,2.67
stars,C2,3.0
stars,C1,0.33
stars,C1,0.67
stars,C2,1.33
stars,C2,2.67
stars,C0,1.0
stars,C3,1.5
stars,C1,2.0
stars,C3,1.0
stars,C2,1.5
stars,C2,2.25
stars,C0,2.75
stars,C2,3.0
stars,C0,0.2
stars,C1,0.6
stars,C2,1.0
stars,C2,1.2
stars,C2,1.4
stars,C2,1.6
stars,C0,0.0
stars,C1,1.0
stars,C2,1.33
stars,C2,2.67
stars,C3,0.25
stars,C1,0.5
stars,C1,0.75
stars,C2,1.0
stars,C1,1.5
stars,C0,0.14
stars,C4,0.29
stars,C3,0.43
stars,C1,0.57
stars,C3,0.71
stars,C1,0.86
stars,C2,1.0
stars,C3,1.14
stars,C1,0.0
stars,C1,2.0
stars,C2,2.5
stars,C2,0.33
stars,C1,0.5
stars,C1,0.67
stars,C1,0.83
stars,C4,1.0
stars,C1,1.33
stars,C0,1.5
stars,C1,3.0
stars,C1,5.0
stars,C2,0.17
stars,C1,0.5
stars,C0,0.67
stars,C1,0.83
stars,C3,1.0
stars,C2,1.33
stars,C2,1.5
stars,C0,0.17
stars,C1,0.67
stars,C2,0.83
stars,C3,1.0
stars,C1,1.17
stars,C2,1.33
stars,C2,1.5
stars,C1,0.4
stars,C1,0.8
stars,C0,1.0
stars,C3,1.4
stars,C2,1.6
stars,C2,1.8
stars,C0,0.33
stars,C3,1.0
stars,C2,2.0
stars,C1,2.33
stars,C2,2.0
stars,C0,6.0
stars,C3,3.5
stars,C4,4.5
stars,C2,5.5
stars,C2,3.0
stars,C2,3.5
stars,C1,5.0
stars,C2,0.33
stars,C2,0.67
stars,C2,1.0
stars,C2,1.33
stars,C1,0.67
stars,C3,1.0
stars,C2,2.67
stars,C2,3.0
stars,C4,2.0
stars,C4,5.0
stars,C1,0.33
stars,C1,1.33
stars,C1,1.67
stars,C1,2.67
stars,C0,0.2
stars,C4,0.4
stars,C1,1.0
stars,C1,1.2
stars,C1,1.6
stars,C2,2.0
stars,C1,0.67
stars,C1,1.0
stars,C2,1.33
stars,C0,2.0
stars,C0,0.0
stars,C2,0.11
stars,C1,0.22
stars,C2,0.33
stars,C1,0.44
stars,C1,0.78
stars,C1,0.89
stars,C3,1.0
stars,C2,1.22
stars,C3,1.33
stars,C0,0.0
stars,C0,2.0
stars,C1,0.75
stars,C0,1.25
stars,C1,1.75
stars,C2,2.0
stars,C1,2.75
stars,C1,0.17
stars,C0,0.33
stars,C0,0.67
stars,C1,1.0
stars,C1,1.17
stars,C0,1.33
stars,C2,1.5
stars,C2,0.67
stars,C0,1.0
stars,C3,1.33
stars,C0,1.67
stars,C3,0.0
stars,C2,1.33
stars,C3,2.0
stars,C2,2.33
stars,C1,0.0
stars,C2,0.33
stars,C2,1.0
stars,C3,1.33
stars,C1,2.0
stars,C2,2.5
stars,C0,4.5
stars,C2,0.6
stars,C1,0.8
stars,C0,1.6
stars,C0,1.8
stars,C3,2.0
stars,C2,2.2
stars,C2,0.17
stars,C2,0.33
stars,C0,0.5
stars,C0,0.67
stars,C0,1.33
stars,C1,1.83
stars,C3,2.0
stars,C0,0.0
stars,C1,0.12
stars,C2,0.75
stars,C0,0.88
stars,C2,1.0
stars,C3,1.12
stars,C3,1.38
stars,C0,1.5
stars,C1,1.62
stars,C1,0.0
stars,C1,0.17
stars,C1,0.33
stars,C1,0.5
stars,C1,1.17
stars,C1,1.33
stars,C2,1.5
stars,C2,1.0
stars,C0,3.0
stars,C1,0.33
stars,C1,1.0
stars,C0,2.67
stars,C2,3.67
stars,C1,0.5
stars,C3,2.5
stars,C3,4.5
stars,C3,0.2
stars,C3,1.0
stars,C1,1.2
stars,C1,1.4
stars,C2,1.8
stars,C1,2.0
stars,C3,0.0
stars,C0,0.25
stars,C1,0.75
stars,C2,1.25
stars,C1,1.75
stars,C3,0.5
stars,C1,2.0
stars,C3,4.5
stars,C3,0.0
stars,C0,0.33
stars,C2,0.5
stars,C2,0.67
stars,C0,1.0
stars,C2,1.33
stars,C0,1.5
stars,C4,0.17
stars,C1,0.33
stars,C1,0.5
stars,C0,0.83
stars,C4,1.0
stars,C0,1.5
stars,C2,1.83
stars,C1,0.5
stars,C0,0.75
stars,C2,1.0
stars,C2,1.5
stars,C0,1.75
stars,C3,0.0
stars,C1,1.0
stars,C0,2.5
stars,C0,0.67
stars,C1,1.0
stars,C2,2.0
stars,C2,2.33
stars,C0,0.0
stars,C0,0.6
stars,C0,1.8
stars,C1,2.0
stars,C1,2.2
stars,C0,2.4
stars,C3,0.33
stars,C1,0.67
stars,C2,2.67
stars,C1,4.0
stars,C3,0.67
stars,C2,1.0
stars,C1,1.33
stars,C1,1.67
stars,C0,0.0
stars,C0,0.12
stars,C1,0.25
stars,C2,0.38
stars,C2,0.5
stars,C3,0.62
stars,C0,0.75
stars,C2,0.88
stars,C2,1.12
stars,C3,0.33
stars,C3,2.67
stars,C3,3.67
stars,C1,4.33
stars,C0,1.0
stars,C1,1.33
stars,C2,3.0
stars,C2,3.33
stars,C2,0.33
stars,C1,1.67
stars,C1,2.33
stars,C1,2.67
stars,C1,0.75
stars,C2,1.0
stars,C3,2.25
stars,C1,2.75
stars,C3,3.0
stars,C1,1.0
stars,C4,2.0
stars,C0,1.0
stars,C2,3.0
stars,C1,2.0
stars,C0,3.0
stars,C1,3.5
stars,C1,0.17
stars,C1,0.5
stars,C1,0.83
stars,C2,1.0
stars,C3,1.17
stars,C0,1.33
stars,C2,1.5
stars,C0,0.5
stars,C0,0.75
stars,C4,1.0
stars,C1,1.5
stars,C1,1.75
stars,C0,0.17
stars,C2,0.5
stars,C2,0.67
stars,C4,0.83
stars,C1,1.0
stars,C0,1.17
stars,C0,1.5
stars,C3,0.75
stars,C0,1.0
stars,C2,1.75
stars,C2,2.0
stars,C3,2.25
stars,C1,0.17
stars,C4,0.5
stars,C1,0.67
stars,C1,0.83
stars,C0,1.0
stars,C0,1.17
stars,C2,1.33
stars,C3,0.2
stars,C0,0.4
stars,C2,0.6
stars,C2,0.8
stars,C1,1.0
stars,C0,1.2
stars,C1,0.17
stars,C1,0.33
stars,C2,0.5
stars,C2,1.0
stars,C1,1.17
stars,C0,1.33
stars,C2,1.67
stars,C1,0.25
stars,C1,0.75
stars,C1,1.5
stars,C3,1.75
stars,C2,2.0
stars,C0,0.0
stars,C1,0.25
stars,C2,1.0
stars,C3,1.5
stars,C0,1.75
stars,C3,0.5
stars,C1,0.75
stars,C2,1.0
stars,C1,1.25
stars,C2,1.5
stars,C0,0.0
stars,C4,0.75
stars,C2,1.5
stars,C2,1.75
stars,C0,2.0
stars,C3,0.5
stars,C0,0.75
stars,C1,1.25
stars,C2,1.75
stars,C1,2.0
stars,C3,0.33
stars,C1,0.67
stars,C3,1.33
stars,C2,2.0
stars,C1,0.0
stars,C1,0.14
stars,C2,0.29
stars,C1,0.43
stars,C3,0.71
stars,C0,0.86
stars,C1,1.0
stars,C2,1.29
stars,C3,0.33
stars,C3,0.67
stars,C1,1.67
stars,C1,2.0
stars,C1,0.0
stars,C1,0.5
stars,C2,2.0
stars,C0,0.0
stars,C3,0.25
stars,C1,1.25
stars,C0,1.5
stars,C1,1.75
stars,C1,0.12
stars,C2,0.25
stars,C0,0.38
stars,C0,0.5
stars,C0,0.62
stars,C1,0.75
stars,C0,0.88
stars,C0,1.0
stars,C1,1.12
stars,C4,0.33
stars,C3,0.83
stars,C2,1.0
stars,C2,1.17
stars,C1,1.33
stars,C0,1.5
stars,C0,1.67
stars,C0,0.0
stars,C0,0.33
stars,C2,1.33
stars,C2,1.67
stars,C3,0.2
stars,C1,0.6
stars,C2,0.8
stars,C1,1.0
stars,C0,1.2
stars,C0,1.4
stars,C1,0.5
stars,C0,1.0
stars,C2,1.5
stars,C1,0.0
stars,C0,0.11
stars,C0,0.22
stars,C0,0.33
stars,C3,0.44
stars,C2,0.56
stars,C3,0.67
stars,C3,0.78
stars,C1,0.89
stars,C3,1.0
stars,C1,0.0
stars,C0,0.17
stars,C0,0.33
stars,C1,0.5
stars,C1,0.67
stars,C2,1.17
stars,C2,1.33
stars,C3,0.17
stars,C0,0.33
stars,C2,0.5
stars,C1,0.67
stars,C0,0.83
stars,C2,1.0
stars,C3,1.17
stars,C0,0.25
stars,C1,0.5
stars,C4,0.75
stars,C0,1.0
stars,C3,1.5
stars,C2,0.5
stars,C1,0.75
stars,C2,1.0
stars,C3,1.25
stars,C2,1.75
stars,C0,0.33
stars,C0,0.67
stars,C0,1.0
stars,C0,1.33
stars,C1,1.0
stars,C2,1.5
stars,C1,2.5
stars,C0,0.25
stars,C0,0.5
stars,C1,1.25
stars,C3,1.75
stars,C2,2.5
stars,C1,0.14
stars,C3,0.43
stars,C1,0.57
stars,C3,0.71
stars,C0,0.86
stars,C2,1.0
stars,C1,1.14
stars,C0,1.29
stars,C1,0.0
stars,C1,0.25
stars,C3,0.5
stars,C3,0.75
stars,C3,1.5
stars,C0,0.5
stars,C3,1.5
stars,C1,2.0
stars,C3,0.2
stars,C1,0.6
stars,C2,0.8
stars,C2,1.0
stars,C1,1.4
stars,C0,1.6
stars,C4,0.2
stars,C1,0.8
stars,C1,1.0
stars,C2,1.2
stars,C2,1.4
stars,C3,1.6
stars,C3,0.17
stars,C0,0.33
stars,C0,0.67
stars,C2,0.83
stars,C2,1.0
stars,C2,1.17
stars,C2,1.33
stars,C0,0.33
stars,C3,1.0
stars,C3,1.33
stars,C1,1.67
stars,C1,0.2
stars,C0,0.6
stars,C1,0.8
stars,C1,1.0
stars,C3,1.2
stars,C1,1.6
stars,C0,2.0
stars,C1,2.5
stars,C0,4.0
stars,C1,1.5
stars,C2,2.0
stars,C0,2.5
stars,C1,0.0
stars,C0,1.0
stars,C4,1.33
stars,C2,2.33
stars,C4,0.0
stars,C0,0.4
stars,C1,0.6
stars,C2,0.8
stars,C2,1.0
stars,C4,1.6
stars,C3,0.0
stars,C3,0.17
stars,C2,0.33
stars,C4,0.5
stars,C1,0.67
stars,C2,0.83
stars,C2,1.0
stars,C3,1.0
stars,C2,1.67
stars,C0,2.0
stars,C2,2.67
stars,C1,0.0
stars,C0,0.12
stars,C1,0.25
stars,C1,0.38
stars,C3,0.5
stars,C1,0.62
stars,C1,0.75
stars,C3,1.0
stars,C2,1.12
stars,C3,0.2
stars,C3,0.6
stars,C1,0.8
stars,C3,1.0
stars,C1,1.4
stars,C3,1.8
stars,C1,0.25
stars,C0,0.5
stars,C1,0.75
stars,C2,1.0
stars,C0,1.75
stars,C1,0.0
stars,C1,0.25
stars,C2,0.5
stars,C3,0.75
stars,C1,1.0
stars,C3,0.25
stars,C1,0.75
stars,C1,1.0
stars,C1,1.5
stars,C3,2.0
stars,C2,0.17
stars,C3,0.33
stars,C4,0.5
stars,C3,1.0
stars,C3,1.17
stars,C0,1.33
stars,C0,1.5
stars,C1,0.17
stars,C1,0.33
stars,C2,0.5
stars,C1,0.67
stars,C3,0.83
stars,C1,1.17
stars,C1,1.33
stars,C1,1.67
stars,C1,2.67
stars,C2,3.0
stars,C1,3.33
stars,C1,0.67
stars,C0,1.0
stars,C1,2.67
stars,C1,3.0
stars,C1,0.0
stars,C4,0.4
stars,C0,0.8
stars,C3,1.0
stars,C1,1.4
stars,C1,1.6
stars,C1,0.12
stars,C0,0.25
stars,C1,0.38
stars,C0,0.5
stars,C1,0.62
stars,C0,0.75
stars,C3,1.0
stars,C2,1.12
stars,C0,1.25
stars,C0,0.0
stars,C1,0.25
stars,C1,0.5
stars,C0,1.25
stars,C4,2.0
stars,C1,0.0
stars,C1,0.67
stars,C2,1.0
stars,C0,1.67
stars,C4,1.33
stars,C1,2.0
stars,C3,2.33
stars,C2,3.0
stars,C3,0.14
stars,C2,0.43
stars,C1,0.57
stars,C1,0.71
stars,C1,0.86
stars,C0,1.0
stars,C1,1.14
stars,C0,1.29
stars,C1,0.0
stars,C1,0.12
stars,C2,0.5
stars,C0,0.62
stars,C0,0.75
stars,C2,0.88
stars,C0,1.0
stars,C2,1.12
stars,C0,1.25
stars,C4,0.17
stars,C0,0.33
stars,C0,0.83
stars,C1,1.17
stars,C0,1.33
stars,C3,1.5
stars,C3,1.67
stars,C0,0.0
stars,C0,1.0
stars,C2,2.5
stars,C4,0.33
stars,C1,0.67
stars,C0,1.67
stars,C1,2.33
stars,C3,0.0
stars,C1,0.11
stars,C1,0.22
stars,C1,0.33
stars,C1,0.44
stars,C0,0.56
stars,C1,0.67
stars,C0,0.78
stars,C0,1.0
stars,C0,1.11
stars,C0,0.33
stars,C1,0.5
stars,C1,0.67
stars,C1,0.83
stars,C0,1.0
stars,C4,1.5
stars,C1,2.17
stars,C0,2.0
stars,C0,2.5
stars,C0,3.5
stars,C2,0.17
stars,C2,0.33
stars,C1,0.67
stars,C2,0.83
stars,C2,1.0
stars,C1,1.17
stars,C1,1.33
stars,C4,0.0
stars,C0,0.29
stars,C0,0.43
stars,C0,0.57
stars,C3,0.86
stars,C1,1.0
stars,C1,1.43
stars,C1,1.57
stars,C0,0.0
stars,C0,0.17
stars,C4,0.83
stars,C3,1.0
stars,C2,1.33
stars,C2,1.83
stars,C3,2.0
stars,C0,0.2
stars,C4,0.4
stars,C1,0.6
stars,C1,0.8
stars,C0,1.0
stars,C4,1.2
stars,C0,0.0
stars,C4,0.25
stars,C1,0.5
stars,C0,1.5
stars,C0,2.0
stars,C4,0.43
stars,C1,0.57
stars,C0,0.71
stars,C3,0.86
